ID,Crop type,Water treatment,Fertiliser treatment,Total fresh weight (g),Head fresh weight (g)
3A112,Cauliflower,W-,N-,1961.1,252.5
3A113,Cauliflower,W-,N-,2503.9,981.7
3A118,Cauliflower,W-,N-,1538.2,415.1
3A119,Cauliflower,W-,N-,1798.5,256.8
3A120,Cauliflower,W-,N-,2099.7,718.3
3A121,Cauliflower,W-,N-,2079.1,318.8
3A123,Cauliflower,W-,N-,1577.9,190.0
3A124,Cauliflower,W-,N-,2652.9,796.7
3A125,Cauliflower,W-,N-,2563.9,552.3
3A127,Cauliflower,W-,N-,1992.3,284.2
3A132,Cauliflower,W-,N-,2138.0,779.7
3A134,Cauliflower,W-,N-,2218.0,641.6
3A135,Cauliflower,W-,N-,1718.2,265.0
3A138,Cauliflower,W-,N-,2921.6,1250.0
4A1,Broccoli,W+,N-,2548.7,961.7
4A2,Broccoli,W+,N-,1994.8,929.6
4A3,Broccoli,W+,N-,1259.5,444.2
4A8,Broccoli,W+,N-,1728.8,770.4
4A9,Broccoli,W+,N-,1791.0,756.9
4A10,Broccoli,W+,N-,1968.7,812.0
4A12,Broccoli,W+,N-,1906.7,812.3
4A13,Broccoli,W+,N-,2002.7,856.3
4A14,Broccoli,W+,N-,1972.9,831.3
